"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Gpx3",569.149663192298,2.6670201242866,0.107719290235348,1.29220465184739e-136,2.43050772965975e-132
"Fam107a",38640.8806565756,1.21851333593212,0.0611126117490282,1.03201495113673e-89,9.70558460796539e-86
"Sparc",39606.6791209834,0.703283594500576,0.0363517781629858,1.16147530826226e-85,7.2820630243683e-82
"Plp1",40222.8940715847,-1.06524567582083,0.0747491393230349,2.42755827837586e-47,1.14149859144929e-43
"Col5a3",908.447081608456,1.45723239009426,0.110042250276716,2.63918515400282e-41,8.27340559360651e-38
"Prxl2a",8024.99034636562,0.564026328674522,0.0424870589905844,2.39412500696116e-41,8.27340559360651e-38
"Opalin",289.964817750219,-2.24919530587756,0.17073910959897,6.8619575333108e-41,1.84380798920061e-37
"D130017N08Rik",552.887781418275,-0.856032491445238,0.066825636386437,8.61408633591994e-39,2.02527937365398e-35
"Fbln5",791.941636711774,1.79918192584572,0.14880449024229,6.21841843954945e-35,1.29958036032762e-31
"Cbs",1747.05747656636,0.796670986766061,0.0690538098284554,5.31485160313973e-32,9.99670438034551e-29
"Cdkn1a",2026.80770035109,2.30710174484039,0.20972269331526,1.91635179560372e-29,3.27678735668275e-26
"Apod",22254.3085636296,1.65580378813188,0.151915011121639,6.05105074578368e-29,9.48451778978711e-26
"9330188P03Rik",398.981287867815,-1.16297958103988,0.106971899826896,8.04604374619881e-29,1.16413874478657e-25
"Penk",4035.01618713171,0.705176402386943,0.0668777775609728,3.21736802223962e-27,4.32253393787892e-24
"Csrnp1",306.284539429935,1.07515320687928,0.10361547918774,1.72326361406586e-26,2.16085768779766e-23
"Zic4",1796.01481566307,-0.571380920409948,0.0549936855523043,1.95659477174176e-26,2.30009944135567e-23
"Vwf",661.51468480908,1.17071361199025,0.115769587388066,2.59469587093639e-25,2.8708020374378e-22
"Gm44280",149.265208989713,-1.31244734515785,0.129838787690206,2.87162504693011e-25,3.00068863931713e-22
"Gstm1",7478.18093965335,0.636556935973649,0.0635886223439633,9.16983201090505e-25,9.07765106805858e-22
"Alpk2",299.611057714193,-1.05335826134216,0.107708486288033,7.52799042538085e-24,7.07969859554943e-21
"Gadd45b",498.748432126471,0.86289814555957,0.0883585103548918,8.95809564725357e-24,8.02346766805678e-21
"5031434O11Rik",671.344625362816,-0.784894590435681,0.0807352160569941,1.46109659882054e-23,1.2491711785098e-20
"Ccn2",482.378877636157,1.57110817199439,0.162195007235257,1.74642812000839e-23,1.41286947055812e-20
"Olfm2",511.11960907171,0.919524253826832,0.0948562418938425,1.80280011129751e-23,1.41286947055812e-20
"Phyhd1",1006.11100290164,0.765010361867792,0.0794364642749747,3.65245936867242e-23,2.74796433061438e-20
"Phkg1",699.019563632568,-0.847131231888029,0.0884595235053921,5.77923927505273e-23,4.18083505863334e-20
"Sult1a1",570.339600003694,2.29414776318915,0.244079523409591,2.76754046665202e-22,1.92795069026881e-19
"Traf1",269.056494100171,-1.02608787312582,0.109864783965803,5.24503128695598e-22,3.52334976701268e-19
"Fads1",4898.33449802938,-0.512800979387574,0.0549237721150559,7.05390590788461e-22,4.57506607660006e-19
"Gm13944",192.559175133105,-1.34249575501908,0.146189050387891,2.04890820188859e-21,1.28459714564408e-18
"Slc7a5",2374.5826630433,0.559536279778874,0.0610171793183206,3.37478397570824e-21,2.04762296126117e-18
"Tnfrsf12a",1068.30668124612,1.15962182405843,0.1272120219999,4.38426254677104e-21,2.57698732006926e-18
"Kctd12",5879.26316171763,-0.513527784183901,0.0570947292007674,1.8112409358579e-20,1.03235244735004e-17
"Pllp",935.845238023899,-1.07071321231747,0.119949039035687,2.27791662539271e-20,1.26015687667681e-17
"Ptprn",7726.34953897783,1.02011569275437,0.114230918480894,2.40165191680727e-20,1.27503168894091e-17
"Vim",6292.04979811477,-0.496127667108675,0.0553423511154273,2.44038177478189e-20,1.27503168894091e-17
"Serpinb1a",419.987000132912,-1.23453380220862,0.139351596259757,4.30687135845372e-20,2.18940387516638e-17
"Nbl1",2225.14636130763,0.979793404921292,0.110790086658575,5.35631294385938e-20,2.65123395160661e-17
"Smox",2647.6276870247,0.894094236366543,0.101217381459289,5.74235803220597e-20,2.76943621096826e-17
"Hacl1",370.463264547502,-0.919804720527044,0.10512391351763,1.20843006707844e-19,5.68234028291961e-17
"Col11a2",636.342957287316,-1.03137463826843,0.120481450877384,5.9499727977639e-19,2.72958630129613e-16
"Etnppl",4686.03558243219,0.977143045948108,0.114419875687051,7.41993974446936e-19,3.32289634889819e-16
"Rtl5",751.349944261471,0.592930141498407,0.0695883020131785,1.10401970072276e-18,4.82918756997543e-16
"Cadm1",3418.40142555291,0.559660883033034,0.0658714024561156,1.4280717297342e-18,6.10468208285695e-16
"Syt5",448.713307444694,1.31242850408184,0.15552678603331,1.64906629015526e-18,6.89273063367338e-16
"Tulp3",1684.45482555459,0.522495959233461,0.0619224388398926,2.44909901228036e-18,1.00141528960829e-15
"Paqr6",886.051488794771,-0.771596962006926,0.0918529332138062,2.59541438143436e-18,1.038662746817e-15
"4930402H24Rik",6439.5843730884,-0.454850239296148,0.0540026496251922,2.92078684090361e-18,1.14452249355325e-15
